Kepler ID,KOI Name,Discovery Quarter,Kepler Disposition,RA (J2000),Dec (J2000),Period,Transit Depth,Duration,Semi-major Axis,Eccentricity,r/R,a/R,Planet Radius,Teq,Teff,log(g),Stellar Radius,Stellar Mass,KOI count,Binary Discrimination
8644288,K00137.01,1,CANDIDATE,19 52 19.065,+44 44 46.75,7.64,2292,3.45,0.08,0,0.05,15.4,4.75,858,5385,4.43,0.98,0.94,3,0.05
8644288,K00137.02,1,CANDIDATE,19 52 19.065,+44 44 46.75,14.86,3249,3.63,0.12,0,0.06,24,6.01,690,5385,4.43,0.98,0.94,3,0
8644288,K00137.03,1,CANDIDATE,19 52 19.065,+44 44 46.75,3.5,303,2.12,0.04,0,0.02,9.2,1.82,1120,5385,4.43,0.98,0.94,3,0.36
8506766,K00138.01,1,CANDIDATE,19 43 45.820,+44 34 42.06,48.94,6948,6.57,0.3,0,0.12,30.7,23.3,753,7060,4.12,1.74,1.46,1,5.71
8559644,K00139.01,1,CANDIDATE,19 26 36.760,+44 41 17.78,224.8,3480,11.12,0.76,0,0.06,121,7.34,324,5952,4.38,1.16,1.17,2,0.62
8559644,K00139.02,1,CANDIDATE,19 26 36.760,+44 41 17.78,3.34,154,2.9,0.05,0,0.01,7.35,1.49,1319,5952,4.38,1.16,1.17,2,0.24
12105051,K00141.01,1,CANDIDATE,19 12 09.192,+50 39 05.80,2.62,2616,1.42,0.04,0,0.05,9.2,5.43,1202,5425,4.5,0.93,1,1,2.43
5446285,K00142.01,1,CANDIDATE,19 24 35.537,+40 40 09.84,10.92,1452,3.55,0.1,0,0.04,17.6,4.08,791,5621,4.47,1,1.07,2,44.89
4180280,K00144.01,1,CANDIDATE,19 46 05.830,+39 14 59.14,4.18,1363,3.62,0.05,0,0.04,7.49,3.03,890,4955,4.57,0.8,0.86,1,1.02
5735762,K00148.01,1,CANDIDATE,19 56 33.413,+40 56 56.47,4.78,520,3.58,0.05,0,0.02,7.86,2.14,937,5190,4.49,0.89,0.88,3,0
5735762,K00148.02,1,CANDIDATE,19 56 33.413,+40 56 56.47,9.67,1091,4.4,0.09,0,0.03,12.6,3.15,740,5190,4.49,0.89,0.88,3,0.08
5735762,K00148.03,1,CANDIDATE,19 56 33.413,+40 56 56.47,42.9,629,7.46,0.23,0,0.02,34,2.35,450,5190,4.49,0.89,0.88,3,1.14
3835670,K00149.01,1,CANDIDATE,19 06 31.223,+38 56 44.16,14.56,962,7.76,0.12,0,0.03,14.7,5.51,962,5642,3.97,1.79,1.1,1,2.46
7626506,K00150.01,1,CANDIDATE,19 47 55.444,+43 12 35.10,8.41,805,3.6,0.08,0,0.03,12.9,3.5,980,5822,4.29,1.15,0.95,2,0.84
7626506,K00150.02,1,CANDIDATE,19 47 55.444,+43 12 35.10,28.57,851,5.19,0.18,0,0.03,29.1,3.7,649,5822,4.29,1.15,0.95,2,0.24
2307199,K00151.01,1,CANDIDATE,19 29 29.941,+37 37 51.45,13.45,1426,3.23,0.12,0,0.05,12.4,6,852,6290,4.42,1.08,1.12,1,0.83
8394721,K00152.01,1,CANDIDATE,20 02 04.109,+44 22 53.69,52.09,2927,9.93,0.29,0,0.06,23.84,6.9,553,6405,4.42,1.1,1.18,4,1.95
8394721,K00152.02,1,CANDIDATE,20 02 04.109,+44 22 53.69,27.4,779,7.33,0.19,0,0.03,15.54,3.5,685,6405,4.42,1.1,1.18,4,0.08
8394721,K00152.03,1,CANDIDATE,20 02 04.109,+44 22 53.69,13.48,671,5.49,0.12,0,0.03,9.68,3.3,868,6405,4.42,1.1,1.18,4,0.89
8394721,K00152.04,1,CANDIDATE,20 02 04.109,+44 22 53.69,81.07,434,4.52,0.39,0,0.09,32.02,10.8,477,6405,4.42,1.1,1.18,4,0.14
12252424,K00153.01,1,CANDIDATE,19 11 59.495,+50 56 39.58,8.93,977,2.77,0.08,0,0.03,15.1,2.47,627,4725,4.64,0.69,0.75,2,0
12252424,K00153.02,1,CANDIDATE,19 11 59.495,+50 56 39.58,4.75,765,2.6,0.05,0,0.03,9.9,2.07,773,4725,4.64,0.69,0.75,2,1.17
8030148,K00155.01,1,CANDIDATE,19 29 17.161,+43 52 52.20,5.66,745,4.71,0.06,0,0.03,7.25,3.74,1164,5723,4.19,1.3,0.96,1,2.05
10925104,K00156.01,1,CANDIDATE,19 36 29.143,+48 20 58.28,8.04,550,2.65,0.07,0,0.02,18.4,1.6,623,4619,4.66,0.65,0.71,3,4.14
10925104,K00156.02,1,CANDIDATE,19 36 29.143,+48 20 58.28,5.19,320,2.49,0.05,0,0.02,13.7,1.18,722,4619,4.66,0.65,0.71,3,0.36
10925104,K00156.03,1,CANDIDATE,19 36 29.143,+48 20 58.28,11.78,1328,2.93,0.09,0,0.04,24,2.53,549,4619,4.66,0.65,0.71,3,0.86
6541920,K00157.01,1,CANDIDATE,19 48 27.627,+41 54 32.91,13.02,739,4.43,0.11,0,0.03,23,2.9,785,5685,4.38,1.06,0.98,6,2.48
6541920,K00157.02,1,CANDIDATE,19 48 27.627,+41 54 32.91,22.69,914,5.35,0.16,0,0.03,33,3.2,653,5685,4.38,1.06,0.98,6,2.3
6541920,K00157.03,1,CANDIDATE,19 48 27.627,+41 54 32.91,32,1343,4.27,0.2,0,0.04,42,4.18,583,5685,4.38,1.06,0.98,6,3.62
6541920,K00157.04,1,CANDIDATE,19 48 27.627,+41 54 32.91,46.69,518,6.45,0.25,0,0.02,54,2.43,514,5685,4.38,1.06,0.98,6,5.93
6541920,K00157.05,1,CANDIDATE,19 48 27.627,+41 54 32.91,118.38,1021,9.31,0.47,0,0.03,100,3.38,377,5685,4.38,1.06,0.98,6,1.25
6541920,K00157.06,1,CANDIDATE,19 48 27.627,+41 54 32.91,10.3,260,4.03,0.09,0,0.02,19.6,1.72,851,5685,4.38,1.06,0.98,6,1.67
8972058,K00159.01,1,CANDIDATE,19 50 50.845,+45 15 42.92,8.99,465,4.17,0.09,0,0.02,11.8,2.8,997,6069,4.3,1.19,1.04,2,0.58
