J-K,H-K,J-H,Spectral Type,EW Na,EW Ca,H2OK2 Index
0.74,0.23,0.51,M3V,3.97,3,0.91
0.87,0.27,0.59,M5V,5.09,2.7,0.86
0.77,0.23,0.54,M3V,3.52,2.46,0.92
0.82,0.19,0.62,M4V,5.3,4.11,0.9
0.85,0.2,0.65,M3V,5.68,4.92,0.96
0.76,0.21,0.55,M4V,4.17,3.11,0.88
0.86,0.26,0.6,M4V,5.4,3.79,0.86
0.78,0.26,0.53,M4V,4.75,3.67,0.87
0.8,0.25,0.55,M2V,4.64,3.76,0.94
0.84,0.22,0.62,M2V,5.65,4.7,0.92
0.86,0.3,0.56,M5V,5.18,2.47,0.85
0.9,0.3,0.59,M6V,6.37,2.36,0.82
0.91,0.26,0.65,M4V,5.9,3.6,0.91
0.81,0.29,0.52,M4V,4.76,2.84,0.87
0.87,0.22,0.64,M3V,5.46,3.63,0.91
0.83,0.21,0.62,M2V,3.61,3.65,1
0.9,0.3,0.59,M5V,7.27,3.63,0.84
0.92,0.31,0.61,M5V,5.88,2.51,0.83
0.82,0.27,0.56,M5V,4.74,2.3,0.85
0.88,0.22,0.66,M4V,5.56,3.19,0.87
0.83,0.21,0.62,M3V,3.55,2.37,0.94
0.86,0.25,0.61,M5V,5.59,2.93,0.84
0.88,0.28,0.6,M4V,5.52,4.07,0.89
0.89,0.28,0.6,M4V,5.72,3.67,0.88
0.86,0.3,0.56,M4V,5.4,3.66,0.88
0.87,0.3,0.57,M6V,4.26,1.96,0.8
0.89,0.27,0.62,M5V,5.94,2.74,0.84
0.85,0.26,0.6,M5V,7.06,4.08,0.85
0.89,0.35,0.54,M4V,5.68,3.71,0.88
0.86,0.36,0.5,M5V,4.64,2.66,0.84
0.89,0.33,0.56,M5V,6.05,2.69,0.83
0.83,0.29,0.55,M4V,5.1,3.27,0.87
0.81,0.3,0.51,M89V,3.32,0.59,0.72
0.89,0.26,0.63,M5V,6.15,3.36,0.85
0.87,0.29,0.58,M3V,6.66,4.41,0.91
0.83,0.27,0.56,M4V,4.81,3.29,0.87
0.85,0.23,0.62,M5V,5.35,3.53,0.83
0.89,0.23,0.66,M4V,6.47,3.88,0.86
0.88,0.3,0.58,M4V,7.46,4.45,0.89
0.85,0.3,0.55,M5V,5.49,3.37,0.84
1.19,0.48,0.71,M89V,6.15,1.45,0.7
0.81,0.28,0.53,M5V,4.93,2.38,0.86
0.85,0.29,0.56,M4V,5.1,3.11,0.87
0.94,0.34,0.61,M6V,5.49,2.08,0.81
0.83,0.3,0.53,M5V,4.72,2.52,0.86
0.79,0.23,0.56,M3V,4.41,3.62,0.93
0.91,0.26,0.65,M4V,6.74,3.59,0.88
0.82,0.29,0.53,M4V,4.86,2.9,0.87
0.85,0.28,0.57,M5V,5.65,3.15,0.85
0.91,0.32,0.59,M5V,5.52,2.5,0.82
0.88,0.31,0.56,M6V,4.9,3.43,0.82
