Jmag,Hmag,Kmag,sptype,na,ca,hind,[Fe/H]
6.82,8.82,7.66,M5V    ,2.91,1.51,0.85,-0.56
5.74,6.91,5.77,M2V      ,4.38,3.79,0.94,-0.11
8.22,9.55,9.16,M7V    ,4.73,0.92,0.79,-0.02
8.37,9.29,8.68,M4V    ,2.53,2.47,0.89,-0.71
7.45,8.72,8.28,M5V ,7.56,3.75,0.87,0.3
8.9,9.22,8.97,M4V ,6.36,3.23,0.89,0.24
9.5,10.81,10.05,M7V      ,7.04,1.6,0.76,0.29
8.49,9.76,8.67,M6V    ,5.41,2.21,0.81,0.11
8.72,10.59,9.64,M5V ,5.53,2.03,0.83,0.13
9.48,10.26,9.8,M5V    ,5.61,2.88,0.85,0.15
9.56,10.68,10.15,M5V ,5.95,2.8,0.85,0.2
8.57,9.37,8.71,M6V ,5.19,2.81,0.85,0.07
9.71,10.47,9.74,M4V ,4.52,2.64,0.88,-0.07
5.47,8.06,6.89,M7V    ,5.54,2.04,0.81,0.14
6.53,8.08,6.89,M7V    ,5.22,1.72,0.79,0.08
7.26,8.66,8.13,M5V ,4.8,3.2,0.87,-0.01
9.13,10.4,9.83,M7V ,5.28,1.47,0.79,0.09
9.15,10.4,9.22,M4V ,7.1,3.98,0.89,0.29
8.06,9.37,8.89,M4V ,7.2,4.34,0.91,0.3
9.34,10.78,10.03,M5V ,4.43,2.3,0.85,-0.09
7.95,10.47,9.4,M5V    ,5.2,2.3,0.83,0.08
8.96,11.18,10.1,M5V ,5.35,2.49,0.82,0.1
7.58,9.84,9.06,M5V      ,5.72,3.35,0.87,0.16
8.67,9.42,9.15,M5V      ,5.66,3.24,0.87,0.15
9.51,11.14,10.29,M5V    ,2.72,1.52,0.84,-0.63
7.59,9.36,8.52,M4V    ,3.76,2.59,0.87,-0.28
7.71,9.6,8.49,M4V      ,7.11,3.7,0.89,0.29
7.3,8.39,8.02,M3V ,5.69,4.71,0.91,0.16
7.54,9.38,8.81,M5V    ,3.57,1.8,0.84,-0.33
7.08,8.66,7.53,M3V    ,5.75,3.92,0.9,0.17
9.58,10.56,9.79,M4V ,6.51,4.36,0.86,0.26
7.32,9.89,8.72,M4V      ,6.5,3.42,0.88,0.25
8.75,9.46,9.18,M4V      ,7.12,3.22,0.87,0.29
8.67,10.04,9.04,M5V ,4.97,2.75,0.85,0.03
7.86,9.12,8.86,M5V    ,5.9,4.39,0.88,0.19
7.59,9.33,9.07,M5V      ,5.75,4.68,0.87,0.17
7.79,9.3,8.92,M4V      ,4.88,3.22,0.86,0.01
8.51,10.16,9.01,M6V ,6.82,2.74,0.8,0.28
10.04,10.97,10.26,M6V ,5.09,2.5,0.84,0.06
8.7,10.77,9.73,M4V ,6.09,3.66,0.9,0.21
8.85,10.46,9.47,M4V ,6.55,4.77,0.88,0.26
8.81,10.69,9.93,M5V ,5.31,2.78,0.83,0.1
7.72,8.85,8.13,M3V    ,7.28,4.31,0.91,0.3
4.32,6.42,5.31,M2V      ,4.1,3.52,0.95,-0.18
8.67,9.9,8.89,M5V    ,4.86,2.15,0.85,0.01
8.18,10.16,9.54,M6V ,7.6,2.68,0.82,0.3
7.84,9.45,8.34,M3V      ,5.84,4.14,0.92,0.18
6.23,8.77,7.6,M4V    ,5.19,4.01,0.88,0.07
8.95,10.16,9.02,M5V ,5.8,3.19,0.85,0.17
7.97,9.26,8.59,M3V      ,6.39,4.67,0.9,0.24
7.37,7.95,7.71,M5V    ,3.72,2.16,0.85,-0.29
7.87,9.26,8.68,M3V      ,4.7,3.43,0.92,-0.03
7.18,8.27,7.74,M5V    ,2.9,1.56,0.82,-0.57
8,9.76,8.56,M3V      ,6.26,4.72,0.89,0.23
7.45,9.26,8.51,M4V      ,6.76,3.63,0.86,0.27
6.47,8.34,7.8,M4V    ,4.48,2.94,0.89,-0.08
8.22,8.87,8.46,M2V    ,4.38,3.46,0.95,-0.11
5.82,6.72,6.08,M7V    ,7.2,2.13,0.78,0.3
9.64,10.49,10.02,M4V ,4.89,2.88,0.87,0.01
9.83,10.58,10.35,M6V ,7.13,2.65,0.81,0.29
9.14,10.18,9.65,M5V    ,6.35,3.1,0.85,0.24
9.62,10.45,10.25,M5V ,5.71,3.61,0.87,0.16
9.49,10.58,10.26,M4V ,4.59,3.04,0.89,-0.05
8.84,10.67,9.75,M5V ,6.51,2.64,0.86,0.26
8.79,9.46,8.91,M5V      ,3.67,2.13,0.85,-0.3
7.34,9.27,8.63,M5V    ,5.56,4.16,0.87,0.14
9.04,10.71,10.5,M6V ,5.98,1.87,0.81,0.2
9.78,11.14,9.94,M5V ,7.42,3.44,0.89,0.3
8.06,9.92,9.37,M4V ,6.84,3.61,0.89,0.28
7.88,9.61,9.27,M4V      ,4.42,2.63,0.86,-0.09
6.33,7.91,7.5,M4V    ,4.56,3.41,0.88,-0.06
8.76,10.7,10.24,M5V ,5.03,2.28,0.85,0.04
5.29,6.61,5.53,M1V      ,2.51,2.47,0.96,-0.72
8.53,9.24,8.97,M4V      ,2.91,1.99,0.89,-0.56
10.02,10.75,10.32,M6V ,5.87,1.87,0.78,0.18
9.21,10.36,9.47,M5V ,5.98,2.9,0.84,0.2
6.84,8.29,7.67,M4V    ,3.95,2.73,0.88,-0.22
9.67,11.24,10.47,M5V ,5.49,2.45,0.85,0.13
7.49,9.22,8.67,M2V ,0.86,0.82,0.96,-1.48
9.51,11.39,10.22,M4V ,3.84,2.94,0.87,-0.25
5.13,6.73,6.07,M3V    ,4.91,4.09,0.95,0.02
7.41,9.45,8.64,M4V      ,6.37,4.59,0.88,0.24
6.93,8.36,8.1,M4V      ,6.21,4.37,0.88,0.23
7.71,9.6,8.6,M4V ,5.29,3.47,0.89,0.09
8.4,9.89,9.28,M4V ,4.77,2.57,0.88,-0.01
7.5,8.11,7.64,M5V    ,5.36,2.65,0.85,0.1
4.4,6.43,5.61,M2V      ,3.79,3.88,0.97,-0.27
7.72,9.94,9.02,M4V    ,6.5,3.16,0.89,0.26
9.65,10.73,10.26,M7V      ,5.72,1.7,0.75,0.16
8.65,9,8.71,M4V      ,7.49,3.65,0.88,0.3
6.97,8.59,8.3,M3V ,4.29,3.43,0.95,-0.13
7.42,9.08,8.39,M4V    ,1.62,0.99,0.88,-1.1
7.19,8.83,7.9,M4V      ,5.28,3.25,0.87,0.09
9.36,10.18,9.85,M5V ,7.23,2.8,0.82,0.3
9.93,11.1,10.32,M5V ,5.89,2.32,0.84,0.19
6.93,8,7.54,M5V      ,6.91,3,0.83,0.28
6.3,8.57,7.57,M6V      ,5.79,2.15,0.83,0.17
9.34,10.89,10.62,M6V      ,4.42,1.59,0.82,-0.1
7.7,10,9,M4V      ,5.11,3.53,0.88,0.06
5.08,6.7,6.04,M6V      ,5.85,2.44,0.81,0.18
6.77,8.72,8.26,M5V ,5.72,3.13,0.87,0.16
8.37,10.5,9.39,M4V    ,5.47,3.52,0.87,0.12
9.46,10.71,10.04,M6V ,7.26,2.72,0.8,0.3
9.47,10.79,9.72,M4V ,4.26,3.13,0.9,-0.14
9.5,9.99,9.69,M5V ,6.56,3.45,0.85,0.26
9.39,10.32,9.48,M5V ,6.06,3.29,0.86,0.21
10.18,10.46,10.23,M5V ,6.14,3.8,0.87,0.22
5.97,6.58,6.36,M4V    ,4.99,3.33,0.88,0.03
9.34,9.91,9.62,M6V ,5.25,2.28,0.82,0.09
8.72,10.36,9.61,M4V    ,3.39,1.71,0.87,-0.39
8.82,10.13,9.84,M5V      ,5.76,1.87,0.83,0.17
8.61,9.58,9.28,M4V ,7.07,4.3,0.91,0.29
6.9,8.55,7.66,M5V    ,6.11,2.85,0.85,0.22
8.07,10.51,9.32,M6V      ,5.31,2.18,0.82,0.1
7.99,9.52,8.61,M5V      ,5.23,2.69,0.85,0.08
7.26,9.56,8.69,M5V ,5.9,2.99,0.84,0.19
8.46,9.89,8.79,M7V ,4.86,1.81,0.77,0.01
